,long_common_name,component,system,index
0,2.0341271809694486,4.304522155782168,0.0,1
1,1.9364271031885563,-0.2510507152036371,0.0,2
2,1.8130311923334863,4.304522155782168,0.0,3
3,1.8130311923334863,3.6035753731324003,0.0,4
4,1.8130311923334863,-0.2510507152036371,0.0,5
5,1.8130311923334863,-0.2510507152036371,0.0,6
6,1.8130311923334863,-0.2510507152036371,0.0,7
7,1.8130311923334863,-0.2510507152036371,0.0,8
8,1.8130311923334863,-0.2510507152036371,0.0,9
9,1.6261683224926158,-0.2510507152036371,0.0,10
10,1.6261683224926158,-0.2510507152036371,0.0,11
11,1.6261683224926158,-0.2510507152036371,0.0,12
12,1.466159196816198,-0.2510507152036371,0.0,13
13,1.466159196816198,-0.2510507152036371,0.0,14
14,1.3276032123922272,-0.2510507152036371,0.0,15
15,1.3276032123922272,-0.2510507152036371,0.0,16
16,1.2064569505370535,-0.2510507152036371,0.0,17
17,1.0996330484306625,3.6035753731324003,0.0,18
18,-0.6006916819460167,-0.2510507152036371,0.0,19
19,-0.6006916819460167,-0.2510507152036371,0.0,20
20,-0.6006916819460167,-0.2510507152036371,0.0,21
21,-0.6006916819460167,-0.2510507152036371,0.0,22
22,-0.6006916819460167,-0.2510507152036371,0.0,23
23,-0.6006916819460167,-0.2510507152036371,0.0,24
24,-0.6006916819460167,-0.2510507152036371,0.0,25
25,-0.6006916819460167,-0.2510507152036371,0.0,26
26,-0.6006916819460167,-0.2510507152036371,0.0,27
27,-0.6006916819460167,-0.2510507152036371,0.0,28
28,-0.6006916819460167,-0.2510507152036371,0.0,29
29,-0.6006916819460167,-0.2510507152036371,0.0,30
30,-0.6006916819460167,-0.2510507152036371,0.0,31
31,-0.6006916819460167,-0.2510507152036371,0.0,32
32,-0.6006916819460167,-0.2510507152036371,0.0,33
33,-0.6006916819460167,-0.2510507152036371,0.0,34
34,-0.6006916819460167,-0.2510507152036371,0.0,35
35,-0.6006916819460167,-0.2510507152036371,0.0,36
36,-0.6006916819460167,-0.2510507152036371,0.0,37
37,-0.6006916819460167,-0.2510507152036371,0.0,38
38,-0.6006916819460167,-0.2510507152036371,0.0,39
39,-0.6006916819460167,-0.2510507152036371,0.0,40
40,-0.6006916819460167,-0.2510507152036371,0.0,41
41,-0.6006916819460167,-0.2510507152036371,0.0,42
42,-0.6006916819460167,-0.2510507152036371,0.0,43
43,-0.6006916819460167,-0.2510507152036371,0.0,44
44,-0.6006916819460167,-0.2510507152036371,0.0,45
45,-0.6006916819460167,-0.2510507152036371,0.0,46
46,-0.6006916819460167,-0.2510507152036371,0.0,47
47,-0.6006916819460167,-0.2510507152036371,0.0,48
48,-0.6006916819460167,-0.2510507152036371,0.0,49
49,-0.6006916819460167,-0.2510507152036371,0.0,50
50,-0.6006916819460167,-0.2510507152036371,0.0,51
51,-0.6006916819460167,-0.2510507152036371,0.0,52
52,-0.6006916819460167,-0.2510507152036371,0.0,53
53,-0.6006916819460167,-0.2510507152036371,0.0,54
54,-0.6006916819460167,-0.2510507152036371,0.0,55
55,-0.6006916819460167,-0.2510507152036371,0.0,56
56,-0.6006916819460167,-0.2510507152036371,0.0,57
57,-0.6006916819460167,-0.2510507152036371,0.0,58
58,-0.6006916819460167,-0.2510507152036371,0.0,59
59,-0.6006916819460167,-0.2510507152036371,0.0,60
60,-0.6006916819460167,-0.2510507152036371,0.0,61
61,-0.6006916819460167,-0.2510507152036371,0.0,62
62,-0.6006916819460167,-0.2510507152036371,0.0,63
63,-0.6006916819460167,-0.2510507152036371,0.0,64
64,-0.6006916819460167,-0.2510507152036371,0.0,65
65,-0.6006916819460167,-0.2510507152036371,0.0,66
66,-0.6006916819460167,-0.2510507152036371,0.0,67
